Yıl,Ay,Gün,Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024,Ocak,24,2024-01-24,Banka Kartı,2846.89,Sağlık,İlaç
2024,Mart,22,2024-03-22,Dijital Cüzdan,1.0,Ulaşım,Toplu taşıma
2024,Nisan,5,2024-04-05,Banka Kartı,2335.87,Giyim,Aksesuar
2024,Mayıs,30,2024-05-30,Kredi Kartı,3865.78,Fatura,Doğalgaz
2024,Nisan,27,2024-04-27,Banka Kartı,1591.34,Sağlık,Hastane
2024,Nisan,17,2024-04-17,Nakit,6568.13,Eğlence,Konser
2024,Mayıs,7,2024-05-07,Dijital Cüzdan,6571.97,Sağlık,Hastane
2024,Haziran,19,2024-06-19,Banka Kartı,11123.58,Abonelikler,Yazılım
2024,Ocak,24,2024-01-24,Banka Kartı,7655.07,Fatura,Elektrik
2024,Şubat,14,2024-02-14,Kredi Kartı,7201.7,Gıda,Restoran
2024,Şubat,12,2024-02-12,Nakit,5312.07,Sağlık,Doktor
2024,Ocak,13,2024-01-13,Banka Kartı,3132.79,Abonelikler,Dergi
2024,Nisan,28,2024-04-28,Dijital Cüzdan,8019.95,Eğlence,Konser
2024,Mart,28,2024-03-28,Nakit,3542.53,Giyim,Ayakkabı
2024,Mart,11,2024-03-11,Nakit,7685.88,Giyim,Aksesuar
2024,Mayıs,1,2024-05-01,Nakit,31.95,Gıda,Restoran
2024,Mart,29,2024-03-29,Banka Kartı,4488.84,Eğlence,Etkinlik
2024,Ocak,16,2024-01-16,Banka Kartı,4495.67,Eğlence,Etkinlik
2024,Şubat,15,2024-02-15,Kredi Kartı,6377.56,Giyim,Aksesuar
2024,Ocak,7,2024-01-07,Kredi Kartı,5526.99,Fatura,Elektrik
2024,Ocak,26,2024-01-26,Dijital Cüzdan,6918.77,Ulaşım,Benzin
2024,Şubat,29,2024-02-29,Kredi Kartı,3768.03,Abonelikler,Yazılım
2024,Mart,27,2024-03-27,Kredi Kartı,7552.44,Ulaşım,Araç kiralama
2024,Mart,9,2024-03-09,Banka Kartı,8611.09,Eğlence,Konser
2024,Haziran,16,2024-06-16,Kredi Kartı,3964.32,Ulaşım,Toplu taşıma
2024,Nisan,9,2024-04-09,Banka Kartı,4279.32,Ulaşım,Toplu taşıma
2024,Ocak,28,2024-01-28,Nakit,7022.73,Ulaşım,Araç kiralama
2024,Mart,24,2024-03-24,Dijital Cüzdan,2999.37,Eğlence,Konser
2024,Şubat,26,2024-02-26,Banka Kartı,5874.87,Giyim,Aksesuar
2024,Mart,25,2024-03-25,Kredi Kartı,1422.33,Gıda,Market alışverişi
2024,Nisan,27,2024-04-27,Kredi Kartı,2881.47,Fatura,Su
2024,Mayıs,16,2024-05-16,Dijital Cüzdan,3133.77,Fatura,Doğalgaz
2024,Mayıs,11,2024-05-11,Dijital Cüzdan,8974.97,Eğlence,Konser
2024,Ocak,20,2024-01-20,Banka Kartı,3891.49,Giyim,Kıyafet
2024,Mart,21,2024-03-21,Kredi Kartı,4964.14,Abonelikler,Yazılım
2024,Nisan,14,2024-04-14,Kredi Kartı,1659.6,Sağlık,Hastane
2024,Mayıs,22,2024-05-22,Nakit,3062.98,Giyim,Kıyafet
2024,Mayıs,5,2024-05-05,Banka Kartı,2150.3,Eğlence,Etkinlik
2024,Mayıs,27,2024-05-27,Nakit,718.28,Ulaşım,Toplu taşıma
2024,Nisan,25,2024-04-25,Dijital Cüzdan,854.57,Gıda,Restoran
2024,Mayıs,17,2024-05-17,Kredi Kartı,1.0,Gıda,Restoran
2024,Mart,13,2024-03-13,Kredi Kartı,4489.65,Sağlık,Hastane
2024,Mayıs,19,2024-05-19,Kredi Kartı,5298.71,Giyim,Kıyafet
2024,Ocak,14,2024-01-14,Banka Kartı,1715.23,Ulaşım,Benzin
2024,Ocak,3,2024-01-03,Kredi Kartı,10323.77,Fatura,Elektrik
2024,Ocak,24,2024-01-24,Banka Kartı,4042.53,Eğlence,Konser
2024,Mart,27,2024-03-27,Kredi Kartı,4028.29,Giyim,Aksesuar
2024,Haziran,9,2024-06-09,Nakit,5295.19,Sağlık,Hastane
2024,Mayıs,1,2024-05-01,Nakit,6358.53,Eğlence,Sinema
2024,Şubat,23,2024-02-23,Banka Kartı,4954.1,Abonelikler,Online hizmet
2024,Ocak,22,2024-01-22,Dijital Cüzdan,7142.98,Ulaşım,Toplu taşıma
2024,Haziran,7,2024-06-07,Nakit,11076.39,Eğlence,Etkinlik
2024,Ocak,24,2024-01-24,Banka Kartı,3000.99,Fatura,Elektrik
2024,Ocak,9,2024-01-09,Nakit,7645.89,Ulaşım,Benzin
2024,Şubat,27,2024-02-27,Nakit,4067.24,Abonelikler,Online hizmet
2024,Şubat,16,2024-02-16,Kredi Kartı,3425.32,Gıda,Yemek
2024,Nisan,5,2024-04-05,Nakit,7336.94,Eğlence,Konser
2024,Mayıs,26,2024-05-26,Kredi Kartı,5083.91,Sağlık,Doktor
2024,Mart,6,2024-03-06,Nakit,3278.06,Fatura,Su
2024,Şubat,23,2024-02-23,Nakit,10157.71,Abonelikler,Online hizmet
2024,Mayıs,14,2024-05-14,Kredi Kartı,3596.61,Eğlence,Sinema
2024,Ocak,10,2024-01-10,Nakit,7464.55,Ulaşım,Benzin
2024,Nisan,5,2024-04-05,Banka Kartı,6435.02,Fatura,Doğalgaz
2024,Ocak,22,2024-01-22,Nakit,2606.38,Abonelikler,Dergi
2024,Ocak,19,2024-01-19,Dijital Cüzdan,1014.77,Ulaşım,Toplu taşıma
2024,Mayıs,26,2024-05-26,Banka Kartı,11969.81,Giyim,Ayakkabı
2024,Nisan,3,2024-04-03,Kredi Kartı,10545.79,Abonelikler,Online hizmet
2024,Şubat,14,2024-02-14,Dijital Cüzdan,6200.83,Giyim,Kıyafet
2024,Şubat,9,2024-02-09,Nakit,847.38,Ulaşım,Toplu taşıma
2024,Ocak,19,2024-01-19,Dijital Cüzdan,6775.76,Sağlık,Hastane
2024,Mart,3,2024-03-03,Banka Kartı,3120.52,Giyim,Ayakkabı
2024,Mayıs,28,2024-05-28,Nakit,7282.83,Gıda,Market alışverişi
2024,Nisan,22,2024-04-22,Dijital Cüzdan,1.0,Giyim,Kıyafet
2024,Mayıs,6,2024-05-06,Nakit,356.61,Fatura,Su
2024,Haziran,9,2024-06-09,Kredi Kartı,692.67,Fatura,Su
2024,Ocak,10,2024-01-10,Banka Kartı,4616.29,Abonelikler,Dergi
2024,Şubat,12,2024-02-12,Kredi Kartı,3512.64,Ulaşım,Benzin
2024,Mart,1,2024-03-01,Banka Kartı,6536.8,Fatura,Su
2024,Şubat,2,2024-02-02,Dijital Cüzdan,5167.21,Ulaşım,Toplu taşıma
2024,Nisan,23,2024-04-23,Banka Kartı,8816.89,Giyim,Aksesuar
2024,Ocak,26,2024-01-26,Banka Kartı,8677.68,Abonelikler,Online hizmet
2024,Haziran,10,2024-06-10,Nakit,5636.13,Sağlık,Hastane
2024,Mart,4,2024-03-04,Dijital Cüzdan,6248.97,Abonelikler,Online hizmet
2024,Nisan,13,2024-04-13,Kredi Kartı,3874.87,Abonelikler,Dergi
2024,Ocak,23,2024-01-23,Nakit,8970.49,Giyim,Kıyafet
2024,Haziran,26,2024-06-26,Dijital Cüzdan,2743.35,Abonelikler,Online hizmet
2024,Mart,27,2024-03-27,Banka Kartı,5360.56,Ulaşım,Araç kiralama
2024,Haziran,22,2024-06-22,Dijital Cüzdan,11353.54,Giyim,Ayakkabı
2024,Ocak,16,2024-01-16,Dijital Cüzdan,6954.5,Fatura,Su
2024,Şubat,27,2024-02-27,Kredi Kartı,10628.1,Giyim,Kıyafet
2024,Nisan,16,2024-04-16,Dijital Cüzdan,3976.25,Fatura,Su
2024,Mayıs,18,2024-05-18,Kredi Kartı,6357.68,Fatura,Doğalgaz
2024,Haziran,10,2024-06-10,Nakit,6588.2,Giyim,Kıyafet
2024,Haziran,26,2024-06-26,Dijital Cüzdan,4343.26,Ulaşım,Toplu taşıma
2024,Mayıs,20,2024-05-20,Nakit,12390.49,Abonelikler,Online hizmet
2024,Mart,7,2024-03-07,Dijital Cüzdan,960.92,Giyim,Kıyafet
2024,Haziran,5,2024-06-05,Kredi Kartı,1.0,Eğlence,Konser
2024,Nisan,3,2024-04-03,Dijital Cüzdan,2543.87,Ulaşım,Benzin
2024,Haziran,15,2024-06-15,Dijital Cüzdan,9576.88,Eğlence,Sinema
2024,Mayıs,1,2024-05-01,Dijital Cüzdan,2608.2,Ulaşım,Benzin
2024,Nisan,23,2024-04-23,Banka Kartı,7623.07,Fatura,Su
2024,Nisan,30,2024-04-30,Nakit,5510.01,Giyim,Ayakkabı
2024,Mart,18,2024-03-18,Banka Kartı,5328.64,Eğlence,Konser
2024,Mayıs,17,2024-05-17,Dijital Cüzdan,4590.42,Giyim,Aksesuar
2024,Nisan,23,2024-04-23,Banka Kartı,1144.91,Ulaşım,Araç kiralama
2024,Mayıs,17,2024-05-17,Dijital Cüzdan,3496.11,Giyim,Aksesuar
2024,Ocak,23,2024-01-23,Banka Kartı,10721.08,Sağlık,Hastane
2024,Mart,2,2024-03-02,Banka Kartı,8856.37,Eğlence,Etkinlik
2024,Nisan,18,2024-04-18,Nakit,8558.98,Gıda,Restoran
2024,Haziran,25,2024-06-25,Kredi Kartı,6670.46,Ulaşım,Toplu taşıma
2024,Ocak,11,2024-01-11,Dijital Cüzdan,5297.58,Eğlence,Konser
2024,Nisan,15,2024-04-15,Nakit,6625.47,Ulaşım,Araç kiralama
2024,Haziran,11,2024-06-11,Dijital Cüzdan,11348.01,Giyim,Ayakkabı
2024,Nisan,15,2024-04-15,Nakit,8909.9,Sağlık,Hastane
2024,Şubat,2,2024-02-02,Banka Kartı,11413.62,Sağlık,İlaç
2024,Haziran,2,2024-06-02,Dijital Cüzdan,6329.78,Ulaşım,Toplu taşıma
2024,Şubat,6,2024-02-06,Dijital Cüzdan,2575.65,Ulaşım,Araç kiralama
2024,Şubat,21,2024-02-21,Nakit,1.0,Gıda,Restoran
2024,Şubat,6,2024-02-06,Nakit,3377.07,Abonelikler,Online hizmet
2024,Ocak,19,2024-01-19,Nakit,7170.71,Sağlık,Doktor
2024,Nisan,3,2024-04-03,Kredi Kartı,5442.48,Gıda,Restoran
2024,Şubat,7,2024-02-07,Nakit,1039.98,Fatura,Elektrik
2024,Mart,24,2024-03-24,Dijital Cüzdan,1.0,Abonelikler,Dergi
2024,Mayıs,28,2024-05-28,Dijital Cüzdan,972.55,Gıda,Restoran
2024,Mart,25,2024-03-25,Nakit,4747.69,Gıda,Market alışverişi
2024,Nisan,3,2024-04-03,Kredi Kartı,426.64,Fatura,Doğalgaz
2024,Nisan,22,2024-04-22,Kredi Kartı,6129.49,Giyim,Aksesuar
2024,Nisan,12,2024-04-12,Kredi Kartı,5668.16,Sağlık,İlaç
2024,Haziran,26,2024-06-26,Kredi Kartı,3813.88,Abonelikler,Dergi
2024,Şubat,4,2024-02-04,Dijital Cüzdan,3221.59,Sağlık,Hastane
2024,Mart,22,2024-03-22,Kredi Kartı,2607.47,Giyim,Kıyafet
2024,Nisan,8,2024-04-08,Nakit,10028.74,Giyim,Aksesuar
2024,Mart,28,2024-03-28,Nakit,1.0,Eğlence,Konser
2024,Ocak,15,2024-01-15,Dijital Cüzdan,729.6,Eğlence,Konser
2024,Mayıs,1,2024-05-01,Nakit,789.07,Fatura,Doğalgaz
2024,Nisan,13,2024-04-13,Banka Kartı,7682.55,Ulaşım,Toplu taşıma
2024,Nisan,2,2024-04-02,Dijital Cüzdan,3432.48,Fatura,Su
2024,Nisan,1,2024-04-01,Dijital Cüzdan,2839.49,Eğlence,Sinema
2024,Haziran,15,2024-06-15,Banka Kartı,6521.75,Fatura,Su
2024,Nisan,7,2024-04-07,Nakit,7118.24,Abonelikler,Online hizmet
2024,Ocak,21,2024-01-21,Banka Kartı,12584.26,Fatura,Su
2024,Mart,15,2024-03-15,Dijital Cüzdan,1.0,Abonelikler,Online hizmet
2024,Şubat,23,2024-02-23,Kredi Kartı,5727.41,Sağlık,İlaç
2024,Şubat,4,2024-02-04,Dijital Cüzdan,1.0,Giyim,Aksesuar
2024,Nisan,27,2024-04-27,Nakit,4875.93,Gıda,Yemek
2024,Şubat,17,2024-02-17,Kredi Kartı,2570.2,Gıda,Restoran
2024,Ocak,16,2024-01-16,Kredi Kartı,4715.64,Sağlık,Doktor
2024,Şubat,21,2024-02-21,Dijital Cüzdan,3318.05,Eğlence,Sinema
2024,Ocak,4,2024-01-04,Dijital Cüzdan,6524.19,Sağlık,Doktor
2024,Nisan,24,2024-04-24,Nakit,4899.86,Sağlık,Hastane
2024,Haziran,27,2024-06-27,Dijital Cüzdan,7355.12,Eğlence,Sinema
2024,Mart,5,2024-03-05,Kredi Kartı,3153.76,Eğlence,Etkinlik
2024,Nisan,12,2024-04-12,Kredi Kartı,4679.17,Sağlık,Hastane
2024,Ocak,20,2024-01-20,Kredi Kartı,6328.83,Eğlence,Etkinlik
2024,Ocak,9,2024-01-09,Banka Kartı,3385.27,Abonelikler,Online hizmet
2024,Haziran,25,2024-06-25,Nakit,5635.2,Gıda,Yemek
2024,Haziran,22,2024-06-22,Nakit,503.1,Giyim,Aksesuar
2024,Nisan,10,2024-04-10,Banka Kartı,4684.74,Sağlık,İlaç
2024,Nisan,21,2024-04-21,Dijital Cüzdan,9107.11,Gıda,Yemek
2024,Mart,30,2024-03-30,Nakit,4992.77,Abonelikler,Dergi
2024,Nisan,16,2024-04-16,Nakit,7400.14,Abonelikler,Dergi
2024,Nisan,9,2024-04-09,Dijital Cüzdan,9716.59,Fatura,Elektrik
2024,Ocak,20,2024-01-20,Banka Kartı,6340.09,Sağlık,Hastane
2024,Ocak,31,2024-01-31,Nakit,3685.08,Ulaşım,Toplu taşıma
2024,Şubat,13,2024-02-13,Nakit,1.0,Gıda,Market alışverişi
2024,Mayıs,29,2024-05-29,Nakit,3392.81,Gıda,Restoran
2024,Haziran,19,2024-06-19,Dijital Cüzdan,7535.55,Ulaşım,Benzin
2024,Haziran,27,2024-06-27,Nakit,8565.86,Ulaşım,Toplu taşıma
2024,Mayıs,10,2024-05-10,Dijital Cüzdan,1.0,Fatura,Doğalgaz
2024,Nisan,22,2024-04-22,Banka Kartı,2227.73,Giyim,Ayakkabı
2024,Mart,31,2024-03-31,Banka Kartı,5585.94,Abonelikler,Dergi
2024,Ocak,22,2024-01-22,Dijital Cüzdan,5275.0,Abonelikler,Dergi
2024,Mayıs,18,2024-05-18,Dijital Cüzdan,6612.3,Abonelikler,Dergi
2024,Ocak,25,2024-01-25,Nakit,2958.34,Fatura,Elektrik
2024,Nisan,27,2024-04-27,Dijital Cüzdan,9466.95,Gıda,Restoran
2024,Mayıs,31,2024-05-31,Nakit,7890.17,Ulaşım,Benzin
2024,Mart,23,2024-03-23,Nakit,1.0,Abonelikler,Dergi
2024,Şubat,17,2024-02-17,Banka Kartı,5447.98,Fatura,Doğalgaz
2024,Nisan,23,2024-04-23,Dijital Cüzdan,9847.46,Eğlence,Etkinlik
2024,Mart,15,2024-03-15,Nakit,6007.79,Giyim,Ayakkabı
2024,Mayıs,6,2024-05-06,Kredi Kartı,1.0,Abonelikler,Online hizmet
2024,Ocak,9,2024-01-09,Kredi Kartı,7203.67,Giyim,Aksesuar
2024,Nisan,8,2024-04-08,Banka Kartı,3683.94,Fatura,Su
2024,Nisan,23,2024-04-23,Dijital Cüzdan,3568.9,Fatura,Su
2024,Mart,12,2024-03-12,Nakit,6974.57,Fatura,Doğalgaz
2024,Mart,23,2024-03-23,Dijital Cüzdan,5534.87,Sağlık,Doktor
2024,Mart,16,2024-03-16,Kredi Kartı,4911.0,Sağlık,Hastane
2024,Şubat,12,2024-02-12,Banka Kartı,8192.48,Fatura,Su
2024,Mart,15,2024-03-15,Nakit,5853.01,Abonelikler,Online hizmet
2024,Mart,24,2024-03-24,Banka Kartı,4368.58,Giyim,Aksesuar
2024,Haziran,22,2024-06-22,Dijital Cüzdan,5648.63,Sağlık,Hastane
2024,Şubat,4,2024-02-04,Kredi Kartı,9351.15,Gıda,Restoran
2024,Ocak,14,2024-01-14,Dijital Cüzdan,4012.26,Gıda,Market alışverişi
2024,Nisan,3,2024-04-03,Dijital Cüzdan,3159.19,Eğlence,Konser
2024,Ocak,26,2024-01-26,Dijital Cüzdan,3156.03,Eğlence,Konser
2024,Mayıs,31,2024-05-31,Banka Kartı,10624.02,Giyim,Kıyafet
2024,Mart,18,2024-03-18,Banka Kartı,5015.04,Fatura,Elektrik
2024,Nisan,17,2024-04-17,Dijital Cüzdan,3563.86,Fatura,Elektrik
2024,Şubat,8,2024-02-08,Dijital Cüzdan,2630.2,Fatura,Su
2024,Mart,29,2024-03-29,Kredi Kartı,4110.64,Sağlık,Doktor
2024,Şubat,11,2024-02-11,Kredi Kartı,5113.94,Giyim,Aksesuar
2024,Mayıs,26,2024-05-26,Dijital Cüzdan,2855.22,Fatura,Doğalgaz
2024,Ocak,15,2024-01-15,Nakit,4889.29,Giyim,Kıyafet
2024,Nisan,11,2024-04-11,Dijital Cüzdan,8247.27,Eğlence,Etkinlik
2024,Ocak,30,2024-01-30,Nakit,8233.84,Fatura,Elektrik
2024,Mart,14,2024-03-14,Dijital Cüzdan,1.0,Sağlık,İlaç
2024,Mayıs,8,2024-05-08,Nakit,3968.24,Sağlık,İlaç
2024,Ocak,24,2024-01-24,Dijital Cüzdan,761.41,Ulaşım,Araç kiralama
2024,Ocak,16,2024-01-16,Banka Kartı,1167.2,Ulaşım,Toplu taşıma
2024,Mart,30,2024-03-30,Dijital Cüzdan,4911.49,Gıda,Yemek
2024,Nisan,27,2024-04-27,Nakit,1811.07,Fatura,Doğalgaz
2024,Ocak,16,2024-01-16,Banka Kartı,5443.7,Ulaşım,Benzin
2024,Şubat,17,2024-02-17,Dijital Cüzdan,4888.6,Ulaşım,Toplu taşıma
2024,Ocak,4,2024-01-04,Nakit,1135.62,Giyim,Aksesuar
2024,Nisan,4,2024-04-04,Nakit,6959.0,Eğlence,Etkinlik
2024,Haziran,22,2024-06-22,Nakit,988.49,Eğlence,Sinema
2024,Mart,30,2024-03-30,Kredi Kartı,5936.55,Sağlık,Hastane
2024,Ocak,12,2024-01-12,Kredi Kartı,4113.87,Gıda,Restoran
2024,Mayıs,11,2024-05-11,Banka Kartı,3801.74,Ulaşım,Benzin
2024,Şubat,18,2024-02-18,Dijital Cüzdan,5512.33,Gıda,Restoran
2024,Şubat,17,2024-02-17,Kredi Kartı,4026.16,Fatura,Elektrik
2024,Şubat,27,2024-02-27,Nakit,6978.37,Giyim,Kıyafet
2024,Mart,22,2024-03-22,Banka Kartı,2626.67,Abonelikler,Yazılım
2024,Ocak,5,2024-01-05,Kredi Kartı,5498.61,Fatura,Doğalgaz
2024,Mayıs,15,2024-05-15,Banka Kartı,7358.63,Sağlık,İlaç
2024,Şubat,24,2024-02-24,Nakit,3091.79,Giyim,Aksesuar
2024,Şubat,7,2024-02-07,Banka Kartı,1.0,Fatura,Doğalgaz
2024,Ocak,12,2024-01-12,Dijital Cüzdan,3868.0,Abonelikler,Online hizmet
2024,Mayıs,27,2024-05-27,Banka Kartı,3138.97,Ulaşım,Benzin
2024,Şubat,8,2024-02-08,Banka Kartı,1883.99,Eğlence,Sinema
2024,Mayıs,8,2024-05-08,Nakit,4349.74,Giyim,Ayakkabı
2024,Nisan,4,2024-04-04,Nakit,5062.78,Eğlence,Etkinlik
2024,Mart,29,2024-03-29,Nakit,2288.41,Giyim,Ayakkabı
2024,Ocak,6,2024-01-06,Banka Kartı,6092.31,Sağlık,Hastane
2024,Nisan,17,2024-04-17,Banka Kartı,8469.37,Giyim,Kıyafet
2024,Nisan,17,2024-04-17,Kredi Kartı,6807.97,Gıda,Restoran
2024,Mayıs,31,2024-05-31,Banka Kartı,5424.94,Abonelikler,Online hizmet
2024,Nisan,17,2024-04-17,Nakit,4177.45,Fatura,Su
2024,Nisan,22,2024-04-22,Kredi Kartı,7052.21,Eğlence,Etkinlik
2024,Şubat,18,2024-02-18,Dijital Cüzdan,6105.28,Ulaşım,Toplu taşıma
2024,Ocak,17,2024-01-17,Nakit,5168.9,Sağlık,Doktor
2024,Şubat,9,2024-02-09,Nakit,7261.48,Giyim,Kıyafet
2024,Ocak,16,2024-01-16,Dijital Cüzdan,9149.84,Abonelikler,Online hizmet
2024,Nisan,16,2024-04-16,Banka Kartı,868.08,Eğlence,Etkinlik
2024,Mayıs,8,2024-05-08,Nakit,5706.71,Sağlık,Hastane
2024,Şubat,9,2024-02-09,Dijital Cüzdan,2250.34,Fatura,Elektrik
2024,Haziran,19,2024-06-19,Banka Kartı,6672.67,Ulaşım,Benzin
2024,Ocak,2,2024-01-02,Banka Kartı,5496.19,Ulaşım,Toplu taşıma
2024,Şubat,28,2024-02-28,Nakit,14584.33,Fatura,Elektrik
2024,Mayıs,1,2024-05-01,Banka Kartı,1533.15,Giyim,Aksesuar
2024,Mayıs,3,2024-05-03,Kredi Kartı,1.0,Abonelikler,Online hizmet
2024,Nisan,5,2024-04-05,Nakit,8280.38,Abonelikler,Yazılım
2024,Mart,30,2024-03-30,Dijital Cüzdan,569.36,Gıda,Yemek
2024,Ocak,5,2024-01-05,Dijital Cüzdan,9461.47,Gıda,Market alışverişi
2024,Mart,21,2024-03-21,Kredi Kartı,5873.11,Sağlık,Hastane
2024,Şubat,18,2024-02-18,Kredi Kartı,4800.08,Sağlık,Hastane
2024,Ocak,28,2024-01-28,Nakit,7210.8,Ulaşım,Benzin
2024,Haziran,13,2024-06-13,Kredi Kartı,12447.4,Ulaşım,Benzin
2024,Nisan,4,2024-04-04,Nakit,10095.92,Gıda,Market alışverişi
2024,Mart,3,2024-03-03,Kredi Kartı,6009.57,Eğlence,Sinema
2024,Mart,25,2024-03-25,Banka Kartı,2980.33,Ulaşım,Benzin
2024,Ocak,6,2024-01-06,Nakit,2303.13,Abonelikler,Yazılım
2024,Ocak,6,2024-01-06,Nakit,6494.12,Eğlence,Konser
2024,Mart,27,2024-03-27,Nakit,7721.18,Sağlık,Doktor
2024,Mayıs,5,2024-05-05,Nakit,4762.99,Abonelikler,Online hizmet
2024,Nisan,15,2024-04-15,Nakit,1.0,Giyim,Kıyafet
2024,Mart,17,2024-03-17,Dijital Cüzdan,4461.4,Gıda,Yemek
2024,Mart,3,2024-03-03,Dijital Cüzdan,7381.89,Abonelikler,Yazılım
2024,Haziran,24,2024-06-24,Banka Kartı,8800.51,Gıda,Market alışverişi
2024,Mayıs,9,2024-05-09,Nakit,6551.37,Gıda,Yemek
2024,Nisan,15,2024-04-15,Kredi Kartı,8413.66,Sağlık,Hastane
2024,Haziran,8,2024-06-08,Banka Kartı,5731.76,Giyim,Kıyafet
2024,Mayıs,31,2024-05-31,Dijital Cüzdan,7118.91,Eğlence,Konser
2024,Mayıs,11,2024-05-11,Kredi Kartı,438.74,Sağlık,İlaç
